iter	Passed	Remaining
0	3	303
1	5	257
2	7	231
3	8	203
4	10	190
5	11	180
6	12	172
7	14	166
8	15	161
9	17	159
10	19	154
11	20	150
12	22	147
13	23	144
14	24	141
15	26	138
16	27	136
17	29	134
18	31	133
19	33	132
20	34	130
21	36	129
22	38	127
23	39	125
24	41	123
25	42	121
26	44	119
27	45	117
28	47	117
29	49	115
30	50	113
31	52	110
32	53	108
33	55	107
34	56	105
35	58	103
36	59	101
37	61	100
38	62	98
39	64	96
40	65	94
41	66	91
42	67	90
43	69	88
44	70	86
45	72	84
46	73	83
47	75	81
48	77	80
49	78	78
50	80	76
51	81	75
52	82	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	65
58	91	63
59	93	62
60	94	60
61	96	58
62	97	57
63	98	55
64	100	54
65	101	52
66	103	50
67	104	49
68	106	47
69	107	46
70	109	44
71	110	43
72	112	41
73	113	39
74	115	38
75	116	36
76	118	35
77	119	33
78	121	32
79	123	30
80	125	29
81	127	27
82	128	26
83	130	24
84	131	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	140	13
91	142	12
92	143	10
93	145	9
94	146	7
95	148	6
96	149	4
97	150	3
98	152	1
99	153	0
